姓名,位置,年龄,ca,pa,国籍,俱乐部,角球,传中,盘带,射门,接球,任意球,头球,远射,界外球,盯人,传球,罚点球,抢断,技术,侵略性,预判,勇敢,镇定,集中,决断,意志力,想象力,领导力,无球跑动,防守站位,团队合作,视野,工作投入,爆发力,灵活,平衡,弹跳,体质,速度,耐力,强壮,稳定,肮脏,大赛,伤病,多样,制空能力,拦截传中,沟通,神经指数,手控球,大脚开球,一对一,反应,出击,击球倾向,手抛球的能力,适应性,雄心,争论,忠诚,抗压能力,职业,体育道德,情绪控制,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,身高,左脚,右脚,身价（欧元）,当前声望,本国声望,世界声望,种族,RCA,肤色,出生日期,国家队出场,国家队进球,工资（欧元）,UID,防守,身体,速度,创造,进攻,技术,制空,精神,拦截射门,身体,速度,精神,指挥防守,意外性,制空,大脚,球员习惯,二维码&球员名片&扫码填写评价,球员习惯,二维码&球员名片&扫码填写评价
Ian Maatsen,D/WB/M LC,23,144,160,"Netherlands,Suriname",Aston Villa,12,14,13,11,14,13,8,11,12,11,14,11,13,14,14,13,12,14,10,13,14,14,7,11,12,15,13,15,15,15,12,8,14,15,14,9,14,11,13,5,18,3,2,2,1,2,3,1,3,1,2,2,16,16,5,12,12,14,11,11,1,20,12,1,19,1,15,16,15,12,13,1,12,1,178,20,9,"£56,956,666",7200,7000,6000,AfricanCaribbean,132,11,2002/3/10,1,1,"£85,000",28121372,12.00 ,12.50 ,15.00 ,13.67 ,12.00 ,13.67 ,8.00 ,12.83 ,2.00 ,12.50 ,15.00 ,12.83 ,2.00 ,1.00 ,2.50 ,2.50 ,,#NAME?,,
"Luiz Henrique(Zenit St. Petersburg,Brazil)",AM RL,24,144,160,Brazil,Zenit St. Petersburg,8,11,17,10,13,8,11,13,7,7,13,13,11,16,10,13,12,13,10,11,14,15,8,13,11,11,12,11,16,15,13,12,15,15,14,12,11,7,11,9,12,4,2,1,1,2,3,2,1,2,1,2,13,13,8,12,11,12,9,13,1,1,1,1,1,1,1,10,10,14,16,10,20,15,182,20,9,"£40,482,912",7050,7050,6000,AfricanCaribbean,138,17,2001/1/2,0,0,"£27,576",19377206,9.67 ,13.50 ,15.50 ,13.33 ,12.00 ,15.33 ,11.50 ,11.83 ,1.50 ,13.50 ,15.50 ,11.83 ,1.50 ,1.00 ,3.00 ,2.50 ,"喜欢连续过多人
从右路内切",#NAME?,,
Matt O'Riley,M/AM C,24,144,160,"Denmark,England,Norway",Brighton & Hove Albion,14,12,13,13,16,8,11,12,5,8,15,8,12,17,12,14,8,15,12,14,14,13,9,16,11,13,17,12,12,12,14,14,14,12,13,13,14,7,14,4,10,4,2,1,3,1,3,1,1,2,3,3,12,17,3,14,12,18,15,16,1,1,1,1,1,1,14,1,20,1,1,18,1,1,187,20,13,"£43,473,334",7200,6750,5750,NorthernEuropean,143,3,2000/11/21,4,0,"£50,000",29186052,10.33 ,13.00 ,12.00 ,15.00 ,14.67 ,15.33 ,12.50 ,12.50 ,1.00 ,13.00 ,12.00 ,12.50 ,1.50 ,3.00 ,2.50 ,3.00 ,"中路带球突进
插入对方禁区
经常尝试传身后球
撞墙式配合",#NAME?,,
Takehiro Tomiyasu,D/WB RLC,26,144,160,Japan,,7,11,13,8,12,6,12,9,11,13,12,7,15,13,13,14,15,14,14,13,14,13,7,12,14,16,12,16,13,13,13,14,13,13,14,13,15,10,12,15,16,3,1,1,1,2,2,3,1,1,1,4,18,14,4,15,14,17,17,14,1,18,15,20,15,16,10,1,1,1,1,1,1,1,188,14,20,£0,6900,6900,6000,Asian,139,6,1998/11/5,42,1,,45095490,14.00 ,13.25 ,13.00 ,12.33 ,11.33 ,12.67 ,13.00 ,14.33 ,2.00 ,13.25 ,13.00 ,14.33 ,1.00 ,1.00 ,2.50 ,3.00 ,"利用脚下技术将球带出危险区
把球带出防守区域",#NAME?,,
Dani Parejo,DM/M/AM C,36,144,159,Spain,Villarreal,12,14,12,12,16,17,8,16,8,9,18,18,13,16,11,16,11,16,12,16,15,13,15,12,14,15,17,16,8,10,12,10,15,8,10,10,14,13,14,15,10,2,4,2,3,2,2,1,3,4,1,2,10,12,14,12,16,16,13,13,1,1,1,1,1,1,18,10,20,8,1,16,1,1,182,14,20,"£3,357,711",7200,7200,6450,MediterraneanHispanic,144,6,1989/4/16,4,0,"£50,390",67030707,12.00 ,10.50 ,8.00 ,16.00 ,13.33 ,14.67 ,9.00 ,14.17 ,2.00 ,10.50 ,8.00 ,14.17 ,3.00 ,3.00 ,2.00 ,2.00 ,"弧线球射门
回撤拿球
控制节奏
停球观察
长时间控球",#NAME?,,
Nicolas Pépé,AM RL,30,144,159,"Ivory Coast,France",Villarreal,12,13,16,14,16,15,8,16,2,6,14,15,5,17,6,16,12,13,8,11,7,18,5,17,8,12,13,11,16,16,12,8,11,15,13,10,8,7,9,11,7,2,1,1,2,2,1,3,1,3,3,2,7,7,7,11,11,12,12,14,1,1,1,1,1,1,1,12,1,12,16,1,20,12,183,20,8,"£43,377,128",7200,7200,6800,AfricanCaribbean,143,15,1995/5/29,47,11,"£50,390",85136376,6.33 ,12.75 ,15.50 ,15.00 ,14.67 ,16.33 ,8.00 ,11.00 ,2.00 ,12.75 ,15.50 ,11.00 ,1.00 ,2.00 ,2.00 ,1.50 ,"沿右路带球突进
远射
乐于反越位
喜欢连续过多人",#NAME?,,
Ángel Correa,AM/ST RC,30,144,158,"Argentina,Spain",Tigres de la UANL,12,11,15,14,15,9,8,11,2,5,12,11,6,15,14,14,15,15,15,14,17,15,10,16,8,13,13,15,14,15,14,6,16,14,12,11,17,13,16,7,12,3,3,3,3,4,2,1,2,1,1,2,13,14,10,16,15,16,14,11,1,1,1,1,1,1,1,11,1,10,14,15,18,20,172,12,20,"£12,472,382",7200,7400,6700,NorthAfricanMiddleEastern,135,8,1995/3/9,28,3,"£24,157",14043349,6.33 ,13.00 ,14.00 ,13.33 ,15.00 ,15.00 ,7.00 ,14.67 ,1.50 ,13.00 ,14.00 ,14.67 ,3.00 ,3.00 ,3.50 ,2.00 ,"喜欢连续过多人
经常带球",#NAME?,,
Amar Dedić,D/WB R,22,144,156,"Bosnia and Herzegovina,Austria",Sport Lisboa e Benfica,7,11,16,11,13,7,10,9,10,11,13,8,13,15,15,13,11,13,14,12,17,17,14,15,10,9,13,15,15,16,12,10,14,16,14,11,13,14,12,13,15,4,3,2,3,3,3,3,2,3,2,3,15,15,7,12,10,13,14,14,1,14,13,20,14,20,1,1,1,1,1,1,1,1,180,12,20,"£43,210,340",7000,7100,5500,NorthernEuropean,134,4,2002/8/18,20,1,"£20,827",16283629,11.33 ,13.25 ,15.50 ,14.33 ,13.00 ,14.67 ,10.00 ,12.67 ,2.50 ,13.25 ,15.50 ,12.67 ,2.50 ,3.00 ,3.50 ,3.00 ,"沿右路带球突进
有机会就前插
激怒对手
与裁判争论
鼓动观众情绪",#NAME?,,
Ruben Loftus-Cheek,M/AM C,29,144,156,"England,Guyana",Casciavit Milano,7,11,13,12,13,8,14,13,11,12,14,12,13,13,10,14,12,14,13,13,14,10,12,14,13,14,12,13,12,13,15,14,10,13,15,17,11,9,14,16,12,3,2,1,1,2,2,1,2,2,1,1,14,15,3,13,14,14,16,15,1,1,1,1,1,1,15,11,20,13,8,17,9,14,191,12,20,"£15,516,833",7200,7000,6000,AfricanCaribbean,141,12,1996/1/23,10,0,"£85,257",28068727,12.67 ,15.00 ,12.50 ,12.00 ,13.33 ,13.00 ,14.00 ,13.33 ,1.50 ,15.00 ,12.50 ,13.33 ,1.50 ,1.00 ,2.50 ,1.50 ,中路带球突进,#NAME?,,
Leandro Paredes,DM/M C,31,144,155,Argentina,Club Atlético Boca Juniors,15,13,12,12,15,15,8,14,6,10,16,16,15,16,15,14,16,14,13,14,14,11,14,12,15,15,16,14,12,14,12,9,14,10,14,11,14,16,12,10,10,1,2,3,2,1,1,2,3,1,4,1,12,11,14,10,10,11,6,9,1,1,1,1,1,1,19,1,20,1,1,12,1,1,183,10,20,"£300,000,000",7200,7450,7000,MediterraneanHispanic,146,6,1994/6/29,73,5,"£44,011",14024702,13.33 ,12.75 ,11.00 ,14.33 ,12.67 ,14.33 ,8.50 ,14.33 ,2.50 ,12.75 ,11.00 ,14.33 ,2.50 ,2.00 ,1.00 ,1.00 ,"远射
控制节奏
停球观察
倒地铲球
喜欢接脚下球",#NAME?,,
Samuele Ricci,DM/M C,23,144,155,Italy,Casciavit Milano,9,11,12,9,14,10,8,12,6,10,16,8,13,15,13,15,15,15,15,15,16,13,11,13,13,16,14,14,13,14,14,11,16,13,15,12,15,5,13,4,11,3,2,1,2,3,2,4,1,1,2,2,13,14,6,13,13,15,15,12,1,1,1,1,1,1,20,10,20,10,1,10,10,1,180,10,20,"£27,278,688",7200,7200,5600,MediterraneanHispanic,143,3,2001/8/21,10,0,"£76,947",43390774,12.00 ,13.75 ,13.00 ,14.33 ,12.33 ,13.67 ,9.50 ,15.33 ,2.50 ,13.75 ,13.00 ,15.33 ,1.50 ,2.00 ,3.00 ,2.00 ,"有机会就前插
控制节奏
长距离传球
经常带球",#NAME?,,
Alexsandro Ribeiro,D C,25,144,154,Brazil,LOSC Lille,4,5,8,10,13,5,17,7,7,16,14,7,15,10,17,14,15,11,12,12,16,13,17,7,14,15,10,14,14,10,14,15,17,14,14,15,16,13,14,6,6,1,3,2,2,3,2,2,2,2,3,2,13,13,5,16,18,16,11,15,1,1,20,1,1,1,10,1,1,1,1,1,1,1,192,20,12,"£28,980,310",7200,7000,6250,NativeAmerican,143,9,1999/8/9,2,0,"£15,123",83282675,15.00 ,13.25 ,14.00 ,12.33 ,9.33 ,10.33 ,16.00 ,14.00 ,2.00 ,13.25 ,14.00 ,14.00 ,2.50 ,2.00 ,2.00 ,2.00 ,把球带出防守区域,#NAME?,,
Billy Gilmour,DM/M C,24,144,154,Scotland,Parthenope,13,12,11,6,16,13,7,11,9,10,16,12,13,16,11,15,13,16,14,13,15,8,11,13,15,15,14,14,14,14,13,7,14,14,14,8,11,3,14,6,10,2,1,4,2,2,2,4,2,2,3,3,12,15,2,11,13,16,11,15,1,1,1,1,1,1,20,10,20,11,10,12,10,1,170,12,20,"£15,516,833",7200,7150,5900,NorthernEuropean,141,4,2001/6/11,40,2,"£55,342",61078265,12.67 ,12.25 ,14.00 ,12.67 ,11.67 ,14.33 ,7.00 ,14.17 ,3.00 ,12.25 ,14.00 ,14.17 ,2.50 ,2.00 ,2.00 ,2.50 ,回撤拿球,#NAME?,,
Odilon Kossounou,D RC,24,144,154,Ivory Coast,Bergamo,4,11,11,6,12,4,13,6,12,14,14,6,13,13,13,14,15,14,12,13,16,12,10,10,14,15,14,14,14,13,15,16,13,16,14,16,14,10,10,11,13,3,1,4,2,1,1,3,3,3,3,2,12,14,3,10,10,12,13,13,1,8,20,16,1,12,12,1,10,1,1,1,1,1,191,10,20,"£18,865,202",7200,7000,6000,AfricanCaribbean,144,16,2001/1/4,26,0,"£30,745",93127195,13.67 ,14.50 ,15.00 ,13.33 ,10.00 ,12.00 ,14.50 ,14.17 ,3.00 ,14.50 ,15.00 ,14.17 ,2.50 ,2.00 ,2.00 ,1.50 ,把球带出防守区域,#NAME?,,
"Pepê(Futebol Clube do Porto,Brazil,Paraguay,Italy)",M/AM RLC,28,144,154,"Brazil,Paraguay,Italy",Futebol Clube do Porto,13,14,15,13,14,8,8,11,8,5,14,10,10,15,12,10,10,12,11,12,15,16,8,15,9,11,12,15,15,14,13,8,14,14,15,9,12,5,15,7,20,2,2,4,3,2,1,3,1,1,3,3,13,13,6,14,13,14,10,13,1,1,1,8,1,14,1,16,15,18,19,18,20,10,175,11,20,"£33,271,960",7100,7000,5500,MediterraneanHispanic,137,10,1997/2/24,2,0,"£34,805",19340940,8.00 ,12.75 ,14.50 ,14.00 ,13.33 ,14.67 ,8.00 ,11.50 ,2.00 ,12.75 ,14.50 ,11.50 ,3.00 ,3.00 ,2.00 ,2.00 ,"撞墙式配合
喜欢从双侧内切
喜欢连续过多人",#NAME?,,
Javi Galán,D/WB L,30,144,152,Spain,A. Madrid,13,15,14,11,11,11,6,7,13,12,13,10,14,13,14,15,14,14,13,13,15,12,10,14,13,15,12,15,15,15,14,7,15,14,16,11,14,6,15,3,15,1,3,2,2,1,2,2,1,3,1,3,12,13,3,15,12,18,15,11,1,20,1,1,18,1,1,12,1,1,1,1,1,1,172,20,7,"£18,303,616",7200,7200,5700,MediterraneanHispanic,138,6,1994/11/19,0,0,"£24,860",67243881,13.00 ,14.00 ,14.50 ,12.33 ,13.00 ,12.67 ,6.50 ,14.17 ,1.50 ,14.00 ,14.50 ,14.17 ,2.50 ,2.00 ,1.00 ,2.50 ,"有机会就前插
经常带球
从左路内切",#NAME?,,
Nicolás Domínguez,DM/M C,27,144,152,"Argentina,Italy",Nottingham Forest,5,11,11,8,15,6,13,11,5,9,16,9,17,15,17,13,16,13,13,14,16,11,12,13,14,15,16,16,12,13,11,11,15,12,17,12,15,13,14,7,12,1,1,2,3,1,3,1,3,3,3,3,16,15,7,11,15,14,10,11,1,1,1,1,1,1,20,9,19,9,1,14,1,1,179,10,20,"£34,276,000",7200,6600,6000,MediterraneanHispanic,142,6,1998/6/28,11,1,"£60,000",14077011,13.33 ,13.25 ,12.00 ,14.33 ,11.33 ,13.67 ,12.00 ,14.50 ,2.00 ,13.25 ,12.00 ,14.50 ,1.50 ,3.00 ,1.00 ,3.00 ,"经常尝试传身后球
激怒对手
倒地铲球
长距离传球
尽量不带球",#NAME?,,
Giacomo Raspadori,AM/ST RLC,25,144,151,Italy,A. Madrid,13,11,13,14,15,14,11,12,4,4,13,13,6,15,12,14,11,14,13,13,14,16,11,15,6,14,13,14,14,16,13,7,15,14,12,11,12,4,14,7,13,1,1,1,3,2,1,2,1,2,3,1,15,15,6,14,12,17,15,14,1,1,1,1,1,1,1,1,1,1,15,17,15,20,172,15,20,"£30,333,656",7200,7400,6000,MediterraneanHispanic,139,2,2000/2/18,40,9,"£51,734",43316850,5.33 ,13.00 ,14.00 ,14.00 ,14.33 ,14.33 ,9.00 ,13.17 ,1.50 ,13.00 ,14.00 ,13.17 ,1.00 ,3.00 ,1.50 ,1.00 ,经常带球,#NAME?,,
Joachim Andersen,D C,29,144,151,Denmark,Fulham,8,12,10,8,13,11,14,8,5,14,16,10,14,14,16,15,13,15,14,13,15,11,13,9,13,14,14,12,13,11,13,17,14,12,13,14,13,15,12,7,8,3,1,1,3,1,1,2,2,1,3,3,14,15,3,12,14,16,9,14,1,1,20,1,1,1,10,1,1,1,1,1,1,1,192,13,20,"£40,590,000",7200,7750,5900,NorthernEuropean,143,2,1996/5/31,43,0,"£140,000",27069975,13.67 ,12.75 ,12.50 ,13.67 ,10.67 ,12.33 ,15.50 ,14.00 ,2.00 ,12.75 ,12.50 ,14.00 ,1.00 ,3.00 ,2.00 ,2.00 ,"长距离传球
喜欢将球转移到边路",#NAME?,,
Marcos Alonso,D/WB LC,34,144,151,Spain,Vigo,14,12,13,13,13,15,15,14,12,15,15,12,14,13,12,14,11,15,12,14,13,12,9,15,14,14,15,14,12,10,14,14,14,12,13,15,14,9,13,10,16,3,1,1,1,2,1,3,3,4,3,3,13,14,10,12,13,14,13,12,1,18,20,1,16,1,1,14,1,1,1,1,1,1,188,20,8,"£2,691,607",7200,7200,6700,MediterraneanHispanic,143,5,1990/12/28,9,0,"£44,791",67080310,14.33 ,13.00 ,12.00 ,14.00 ,14.33 ,13.00 ,14.50 ,13.00 ,3.00 ,13.00 ,12.00 ,13.00 ,1.00 ,1.00 ,2.50 ,2.00 ,"有机会就前插
远射",#NAME?,,
Diego Llorente,D C,31,144,150,Spain,Real Hispalis,7,6,10,6,13,7,14,7,7,15,14,9,15,14,13,15,17,14,13,13,13,8,15,9,15,15,13,15,13,13,9,13,14,14,13,13,14,12,10,12,14,3,1,3,3,2,2,2,2,3,2,3,14,14,8,12,12,15,13,12,1,12,20,12,1,10,10,1,1,1,1,1,1,1,186,12,20,"£300,000,000",7200,7200,6450,MediterraneanHispanic,144,6,1993/8/16,10,0,"£49,768",67011217,15.00 ,12.00 ,13.50 ,11.67 ,9.67 ,12.33 ,13.50 ,14.33 ,2.00 ,12.00 ,13.50 ,14.33 ,2.00 ,3.00 ,2.50 ,2.50 ,"有机会就前插
长距离传球
把球带出防守区域",#NAME?,,
"Iván Martín(Girona,Spain,Pays Basque)",DM/M/AM C,26,144,150,"Spain,Pays Basque",Girona,12,14,15,12,14,12,10,10,8,11,14,12,12,15,12,12,13,13,13,15,16,13,11,12,13,13,15,13,13,13,11,9,13,14,13,12,13,8,12,7,15,3,3,2,1,2,3,1,1,2,2,3,10,13,6,14,12,15,12,11,1,1,1,1,1,1,20,12,19,12,12,17,12,1,178,20,12,"£17,284,136",7200,7200,5700,MediterraneanHispanic,136,5,1999/2/14,0,0,"£27,654",67258832,12.00 ,12.25 ,13.50 ,14.00 ,12.33 ,14.67 ,9.50 ,13.67 ,1.00 ,12.25 ,13.50 ,13.67 ,2.50 ,1.00 ,2.50 ,3.00 ,控制节奏,#NAME?,,
Leonardo Balerdi,D C,26,144,150,"Argentina,Italy",Olympique de Marseille,4,6,7,6,13,4,15,10,5,15,16,8,15,12,13,14,12,15,13,14,15,6,15,6,15,14,9,12,13,12,12,15,14,13,12,14,15,8,16,7,8,3,1,1,3,1,1,1,2,1,2,1,11,15,8,11,16,14,12,15,1,8,20,10,6,8,12,1,1,1,1,1,1,1,187,14,20,"£26,565,284",7200,7200,5500,MediterraneanHispanic,144,7,1999/1/26,6,0,"£66,477",14196664,15.00 ,12.50 ,13.00 ,10.33 ,9.00 ,10.67 ,15.00 ,13.67 ,1.50 ,12.50 ,13.00 ,13.67 ,1.00 ,3.00 ,2.00 ,1.00 ,长距离传球,#NAME?,,
Rolando Mandragora,DM/M C,28,144,150,Italy,ACF Fiorentina,13,12,12,11,14,13,12,13,8,12,15,11,14,14,15,14,14,13,12,13,14,14,11,14,14,15,14,14,13,13,14,12,13,13,14,14,13,10,15,7,13,1,1,2,1,3,3,2,3,1,3,3,12,14,3,13,11,14,9,12,1,1,12,1,1,1,20,1,20,1,1,10,1,1,183,20,11,"£14,603,064",7200,7050,5350,MediterraneanHispanic,144,3,1997/6/29,1,0,"£49,193",43159580,13.33 ,13.75 ,13.00 ,14.33 ,12.67 ,13.33 ,12.00 ,13.67 ,2.50 ,13.75 ,13.00 ,13.67 ,1.50 ,1.00 ,2.00 ,3.00 ,控制节奏,#NAME?,,
Lewis Ferguson,DM/M/AM C,25,144,149,Scotland,Bologna FC 1909,5,9,13,12,13,8,15,13,7,13,15,15,14,13,16,13,14,13,13,14,16,10,14,14,15,15,12,17,12,12,14,13,17,12,17,16,17,15,15,7,15,3,2,3,3,3,1,4,1,2,3,1,16,15,7,12,15,19,11,14,1,1,1,1,1,1,18,11,20,11,7,16,7,5,181,8,20,"£19,913,270",7200,6900,5000,NorthernEuropean,142,1,1999/8/24,16,0,"£21,272",61078132,14.00 ,14.75 ,12.00 ,12.33 ,13.00 ,13.00 ,14.00 ,14.17 ,2.50 ,14.75 ,12.00 ,14.17 ,2.50 ,3.00 ,3.00 ,1.00 ,"跑肋部空间接球
习惯简单短传配合
角度刁钻的射门
倒地铲球
经常带球",#NAME?,,
Noa Lang,AM RL,26,144,149,"Netherlands,Suriname",Parthenope,11,14,15,13,16,12,9,14,5,6,14,14,6,15,16,12,16,14,12,12,12,17,9,14,6,13,14,14,15,15,11,10,11,14,14,10,10,12,11,14,14,4,2,3,3,2,2,2,2,3,3,2,11,14,16,12,10,8,4,13,1,1,1,1,1,1,1,14,1,12,20,12,18,14,179,11,20,"£42,242,776",7200,6900,5750,NorthernEuropean,143,6,1999/6/17,14,3,"£76,947",37055842,6.00 ,12.50 ,14.50 ,15.00 ,13.67 ,15.33 ,9.50 ,12.83 ,2.00 ,12.50 ,14.50 ,12.83 ,2.50 ,3.00 ,3.00 ,2.00 ,,#NAME?,,
Cucho Hernández,AM/ST RLC,26,144,148,"Colombia,Spain",Real Hispalis,7,12,13,15,13,13,13,14,7,4,12,15,5,13,13,14,14,13,14,12,15,14,9,12,5,14,12,15,14,14,15,13,14,14,15,15,13,8,12,6,10,2,3,2,3,3,2,1,2,3,1,3,14,12,6,11,13,12,12,11,1,1,1,1,1,1,1,12,1,12,18,15,18,20,176,11,20,"£40,874,600",7200,6500,6450,MixedRace,140,11,1999/4/20,6,2,"£49,768",76043783,4.67 ,14.75 ,14.00 ,12.67 ,13.33 ,13.00 ,13.00 ,13.83 ,1.50 ,14.75 ,14.00 ,13.83 ,2.50 ,3.00 ,2.50 ,2.50 ,,#NAME?,,
Igoh Ogbu,D C,25,144,148,Nigeria,SK Slavia Praha,6,9,9,7,11,6,15,11,9,15,15,5,14,11,14,14,15,12,12,14,15,12,10,11,12,16,12,13,14,14,15,15,16,14,15,17,14,12,14,4,6,1,3,1,3,3,3,1,3,3,2,2,13,14,8,12,14,13,13,12,1,1,20,1,1,1,12,1,5,1,1,1,1,1,187,8,20,"£10,497,600",7200,6350,4500,AfricanCaribbean,144,14,2000/2/8,3,0,"£8,833",53160749,13.67 ,15.25 ,14.00 ,13.00 ,10.00 ,10.33 ,15.00 ,14.33 ,2.00 ,15.25 ,14.00 ,14.33 ,2.00 ,3.00 ,2.00 ,2.50 ,,#NAME?,,
Javi Rodríguez,D RC,22,144,148,Spain,Vigo,8,11,11,8,12,8,13,8,9,13,14,8,16,12,14,14,16,13,16,13,16,8,14,11,16,14,13,15,14,14,14,12,13,14,13,13,13,9,11,3,12,3,2,2,1,1,1,1,2,2,2,1,10,10,10,10,10,10,10,10,1,1,20,19,1,14,1,1,1,1,1,1,1,1,178,8,20,"£47,151,124",7200,7200,5700,MediterraneanHispanic,144,4,2003/6/26,0,0,"£44,791",2000124157,15.00 ,13.50 ,14.00 ,11.67 ,10.67 ,11.67 ,12.50 ,14.83 ,1.50 ,13.50 ,14.00 ,14.83 ,2.00 ,1.00 ,2.00 ,1.00 ,,#NAME?,,
Sergi Cardona,D/WB/M L,26,144,148,Spain,Villarreal,10,13,13,9,14,10,9,10,9,14,15,9,14,13,11,15,13,13,12,15,14,12,10,15,13,13,14,13,14,13,12,13,14,16,14,13,13,9,13,8,14,3,1,1,4,3,3,3,2,2,3,3,13,14,9,10,11,13,11,8,1,20,1,1,19,1,1,16,1,1,12,1,1,1,185,20,8,"£45,064,020",7200,7200,5700,MediterraneanHispanic,141,4,1999/7/8,0,0,"£50,390",67294055,13.67 ,13.00 ,15.00 ,13.67 ,12.33 ,13.33 ,11.00 ,13.67 ,2.50 ,13.00 ,15.00 ,13.67 ,1.00 ,4.00 ,3.00 ,3.00 ,"有机会就前插
长距离传球
喜欢将球转移到边路",#NAME?,,
Justin Bijlow,GK ,27,144,147,Netherlands,Feyenoord Rotterdam,6,1,3,1,10,9,5,1,3,2,14,4,3,11,6,14,10,13,16,14,15,7,14,2,15,15,12,15,11,14,14,14,7,11,13,11,16,13,14,18,12,14,14,13,8,14,15,15,14,12,9,13,20,12,6,15,13,15,12,15,20,1,1,1,1,1,1,1,1,1,1,1,1,1,188,6,20,"£19,057,708",7200,7200,5700,NorthernEuropean,144,4,1998/1/22,8,0,"£12,963",37050136,6.67 ,13.00 ,11.00 ,11.00 ,5.33 ,8.00 ,9.50 ,14.00 ,14.50 ,13.00 ,11.00 ,14.00 ,13.50 ,8.00 ,14.00 ,14.00 ,,#NAME?,,
Ryan Sessegnon,D/WB/M/AM L,25,144,147,"England,Ivory Coast",Fulham,9,12,12,12,10,9,7,11,6,12,12,10,12,14,4,13,7,13,12,12,12,14,10,15,12,14,14,15,16,14,13,8,17,16,16,8,12,4,13,13,14,3,1,2,2,3,2,1,4,1,2,3,14,14,8,16,13,14,10,15,1,19,1,1,20,1,1,16,1,1,18,1,13,1,178,20,8,"£28,112,336",7200,6750,5850,AfricanCaribbean,132,17,2000/5/18,0,0,"£55,000",29165656,12.00 ,12.75 ,16.00 ,13.33 ,13.33 ,12.00 ,7.50 ,11.67 ,2.50 ,12.75 ,16.00 ,11.67 ,1.50 ,2.00 ,3.00 ,2.50 ,"沿左路带球突进
插入对方禁区
趟球变向加速过人
在盘带前先将球停至左脚",#NAME?,,
Christian Nørgaard,DM/M C,31,144,146,Denmark,Arsenal,9,10,12,9,14,9,13,9,9,14,14,8,14,14,14,15,14,14,15,14,15,11,15,12,16,15,15,16,12,11,13,13,14,12,16,12,15,3,15,11,16,3,1,2,3,1,3,3,3,3,3,4,14,14,4,14,14,14,16,14,1,1,10,1,1,1,20,1,18,1,1,1,1,1,187,12,20,"£15,682,444",7200,7250,6250,NorthernEuropean,144,5,1994/3/10,35,1,"£100,000",27039017,14.67 ,13.00 ,12.00 ,13.33 ,11.67 ,13.33 ,13.00 ,14.67 ,3.00 ,13.00 ,12.00 ,14.67 ,1.50 ,3.00 ,2.00 ,3.50 ,"回撤拿球
不喜欢倒地铲球",#NAME?,,
Joey Veerman,DM/M/AM C,26,144,146,Netherlands,PSV,17,11,12,10,14,17,11,16,7,7,17,15,7,14,14,14,15,14,12,11,16,14,14,15,13,15,17,14,12,13,14,13,15,12,15,10,13,5,13,11,13,2,2,1,2,3,3,1,3,3,1,3,5,17,14,7,15,11,12,5,1,1,1,1,1,1,17,1,20,10,1,16,1,1,185,13,20,"£32,917,852",7200,7200,5500,NorthernEuropean,143,3,1998/11/19,16,1,"£11,666",37060896,9.00 ,13.00 ,12.00 ,16.00 ,13.00 ,13.33 ,12.00 ,13.83 ,2.00 ,13.00 ,12.00 ,13.83 ,1.50 ,2.00 ,2.50 ,3.00 ,"角度刁钻的射门
激怒对手
与裁判争论",#NAME?,,
Álvaro Fidalgo,M/AM LC,28,144,145,Spain,Club América,10,13,15,12,15,8,6,12,12,7,17,10,6,15,12,15,12,12,12,14,16,16,13,14,11,14,17,13,14,15,13,6,13,14,14,7,13,5,11,6,12,3,1,2,1,1,3,2,1,2,3,2,14,15,8,12,13,15,14,10,1,1,1,1,1,1,14,1,20,1,16,20,1,1,166,10,20,"£7,375,000",7000,7200,5500,MediterraneanHispanic,138,5,1997/4/9,0,0,"£21,657",67225486,8.00 ,12.25 ,14.00 ,16.67 ,12.67 ,15.00 ,6.00 ,13.83 ,1.50 ,12.25 ,14.00 ,13.83 ,1.50 ,1.00 ,2.00 ,2.50 ,"插入对方禁区
经常尝试传身后球
角度刁钻的射门",#NAME?,,
"Álvaro García(Vallecano,Spain)",M/AM L,32,144,145,Spain,Vallecano,9,11,12,12,12,8,6,9,5,7,10,9,7,12,10,14,12,11,14,15,14,12,11,14,10,14,11,15,17,16,11,5,15,18,12,6,14,6,15,13,11,3,1,3,1,3,3,2,3,2,1,1,9,12,3,12,15,15,14,16,1,8,1,1,8,1,1,19,1,6,20,6,12,12,168,20,12,"£300,000,000",7200,7200,5750,MediterraneanHispanic,136,6,1992/10/27,0,0,"£24,860",67184140,8.00 ,11.25 ,17.50 ,11.00 ,12.33 ,12.00 ,5.50 ,13.83 ,2.50 ,11.25 ,17.50 ,13.83 ,2.00 ,1.00 ,3.00 ,2.00 ,"沿左路带球突进
有机会就前插
乐于反越位
趟球变向加速过人",#NAME?,,
